,keep_numbers,remove_punctuation,remove_stop,stopwords_set,pearson_train,kendal_train,pearson_dev,kendal_dev
0,True,True,True,merged,0.04203879578881315,0.032421452719218445,-0.006629248928445534,-0.004449316957282466
1,True,True,True,fst,0.04203879578881315,0.032421452719218445,-0.006629248928445534,-0.004449316957282466
2,True,True,True,snd,0.04205310203246118,0.03242196956254588,-0.006629248928445534,-0.004449316957282466
3,True,True,False,merged,0.042087504116228656,0.03242478281641333,-0.00705517161872017,-0.004449316957282466
4,True,True,False,fst,0.042087504116228656,0.03242478281641333,-0.00705517161872017,-0.004449316957282466
5,True,True,False,snd,0.042087504116228656,0.03242478281641333,-0.00705517161872017,-0.004449316957282466
6,True,False,True,merged,0.1411894816486404,0.11818652664628584,0.07239765707413126,0.05859954046067563
7,True,False,True,fst,0.14095073062288274,0.11818824361362454,0.0667740767330249,0.054191959802209505
8,True,False,True,snd,0.14136720244753576,0.11839417858798848,0.07239765707413126,0.05859954046067563
9,True,False,False,merged,0.14285409138921293,0.11922026345830636,0.06501776907046072,0.052359411447770454
10,True,False,False,fst,0.14285409138921293,0.11922026345830636,0.06501776907046072,0.052359411447770454
11,True,False,False,snd,0.14285409138921293,0.11922026345830636,0.06501776907046072,0.052359411447770454
12,False,True,True,merged,0.04159297259923456,0.033327317937412684,-0.003956940486403837,-0.003413524784096118
13,False,True,True,fst,0.041663808654303656,0.033331081310088176,-0.003956940486403837,-0.003413524784096118
14,False,True,True,snd,0.04160704709657546,0.033328117043202994,-0.003956940486403837,-0.003413524784096118
15,False,True,False,merged,0.04155817453718958,0.03332589643849728,-0.004383473409719922,-0.003421911012793998
16,False,True,False,fst,0.04155817453718958,0.03332589643849728,-0.004383473409719922,-0.003421911012793998
17,False,True,False,snd,0.04155817453718958,0.03332589643849728,-0.004383473409719922,-0.003421911012793998
18,False,False,True,merged,0.1390044951123932,0.11696099415064169,0.05853132074660611,0.04811389043494264
19,False,False,True,fst,0.13903673292084376,0.11664168930636178,0.06105633823035485,0.05332482683684025
20,False,False,True,snd,0.1392994835993614,0.11722404047813845,0.05853132074660611,0.04811389043494264
21,False,False,False,merged,0.14019816862465778,0.11768872321881868,0.0627879376611599,0.04975514456708275
22,False,False,False,fst,0.14019816862465778,0.11768872321881868,0.0627879376611599,0.04975514456708275
23,False,False,False,snd,0.14019816862465778,0.11768872321881868,0.0627879376611599,0.04975514456708275
