,keep_numbers,remove_punctuation,remove_stop,stopwords_set,pearson_train,kendal_train,pearson_dev,kendal_dev
0,True,True,True,merged,0.3705634613830233,0.2456367294407108,0.4097639668913727,0.2755906560363773
1,True,True,True,fst,0.3738911642282684,0.24641699275625664,0.4076156194950029,0.2765643282309637
2,True,True,True,snd,0.3856494257736296,0.2537121371187922,0.4152671746696659,0.28375003446898256
3,True,True,False,merged,0.03864731452552667,0.027522626907240694,-0.0018881927856258971,-0.007139863285665869
4,True,True,False,fst,0.03864731452552667,0.027522626907240694,-0.0018881927856258971,-0.007139863285665869
5,True,True,False,snd,0.03864731452552667,0.027522626907240694,-0.0018881927856258971,-0.007139863285665869
6,True,False,True,merged,0.3699833286583432,0.24470586632938246,0.4123718305530585,0.277688832132101
7,True,False,True,fst,0.3727382728988773,0.24673090977592263,0.41252154064363644,0.2801798678083363
8,True,False,True,snd,0.3854847417484738,0.2543988469496916,0.4141336599197153,0.2842225425251094
9,True,False,False,merged,0.14913678593314578,0.12505619476332694,0.08490759277926543,0.06243196743653513
10,True,False,False,fst,0.14913678593314578,0.12505619476332694,0.08490759277926543,0.06243196743653513
11,True,False,False,snd,0.14913678593314578,0.12505619476332694,0.08490759277926543,0.06243196743653513
12,False,True,True,merged,0.368810830307402,0.2438949787828821,0.4095907335888942,0.2761679502188037
13,False,True,True,fst,0.37169646102282794,0.24566146042848902,0.4125832270454566,0.28221741831608566
14,False,True,True,snd,0.3841142567463757,0.2526196782302987,0.41488335672776566,0.2869293337808182
15,False,True,False,merged,0.037804010934549784,0.028805787597751112,-0.007531947400794263,-0.01042155663505521
16,False,True,False,fst,0.037804010934549784,0.028805787597751112,-0.007531947400794263,-0.01042155663505521
17,False,True,False,snd,0.037804010934549784,0.028805787597751112,-0.007531947400794263,-0.01042155663505521
18,False,False,True,merged,0.36740837671591053,0.2438815415204259,0.41111393683371866,0.2762705091036842
19,False,False,True,fst,0.3734984951419326,0.24809361337076782,0.4132433152791223,0.28018368904445745
20,False,False,True,snd,0.38370184168434024,0.25283554213197046,0.41740963362800154,0.2869033031214635
21,False,False,False,merged,0.1473916639615326,0.12438157343879563,0.08052579663476413,0.058608188010163015
22,False,False,False,fst,0.1473916639615326,0.12438157343879563,0.08052579663476413,0.058608188010163015
23,False,False,False,snd,0.1473916639615326,0.12438157343879563,0.08052579663476413,0.058608188010163015
