,pearson_train,pearson_dev,pearson_test,ktau_train,ktau_dev,ktau_test
"{'lower': True, 'keep_numbers': False, 'keep_expression': False, 'remove_char': True, 'remove_stop': True, 'remove_tag': True, 'lemmatize': True, 'stemmer': True}",0.28181466953341694,0.27616330428797625,0.26580347805511134,0.19612547145999,0.19776717690297677,0.18282530481276443
"{'lower': False, 'keep_numbers': True, 'keep_expression': False, 'remove_char': True, 'remove_stop': False, 'remove_tag': False, 'lemmatize': True, 'stemmer': False}",0.27435494126204507,0.2777869432011847,0.27163219486311396,0.18749285281250838,0.18812758399414917,0.18611773385878597
"{'lower': True, 'keep_numbers': True, 'keep_expression': True, 'remove_char': True, 'remove_stop': True, 'remove_tag': False, 'lemmatize': False, 'stemmer': False}",0.2725843393969255,0.27266560341837,0.2596456203032596,0.19007941248661248,0.19786360811386472,0.18006823089794607
"{'lower': False, 'keep_numbers': False, 'keep_expression': True, 'remove_char': False, 'remove_stop': False, 'remove_tag': True, 'lemmatize': False, 'stemmer': False}",0.2729147962936791,0.2764310358377236,0.2703476003165852,0.1867468783198039,0.18626577092766747,0.18359426538818543
"{'lower': True, 'keep_numbers': True, 'keep_expression': False, 'remove_char': True, 'remove_stop': True, 'remove_tag': True, 'lemmatize': True, 'stemmer': True}",0.2828465780959261,0.2791384732891333,0.2686668717221288,0.1967924272860526,0.2007965178670154,0.18469958630891103
"{'lower': True, 'keep_numbers': True, 'keep_expression': False, 'remove_char': False, 'remove_stop': False, 'remove_tag': False, 'lemmatize': True, 'stemmer': False}",0.27219844768904283,0.2780175111428338,0.271270576942708,0.186120552680433,0.18869109362213862,0.18578573226523887
"{'lower': False, 'keep_numbers': False, 'keep_expression': True, 'remove_char': False, 'remove_stop': True, 'remove_tag': False, 'lemmatize': False, 'stemmer': True}",0.2878738342805529,0.287143314960114,0.27733911538381634,0.19939029904551928,0.20556559733030513,0.1940958024626495
"{'lower': True, 'keep_numbers': True, 'keep_expression': True, 'remove_char': False, 'remove_stop': False, 'remove_tag': True, 'lemmatize': False, 'stemmer': True}",0.27260326490887765,0.27813891266214114,0.27633948732543945,0.18706901708966883,0.1899617537198972,0.1905314163589719
"{'lower': True, 'keep_numbers': False, 'keep_expression': True, 'remove_char': True, 'remove_stop': True, 'remove_tag': False, 'lemmatize': False, 'stemmer': False}",0.27197262923342264,0.26982484362612374,0.2574156940599365,0.18971160805573878,0.19455809620347317,0.17811960603609778
"{'lower': False, 'keep_numbers': False, 'keep_expression': True, 'remove_char': False, 'remove_stop': True, 'remove_tag': False, 'lemmatize': True, 'stemmer': False}",0.2884716735381959,0.28790212584622205,0.2731282785162089,0.19889792804895964,0.20471003434857968,0.18821387880791055
"{'lower': False, 'keep_numbers': False, 'keep_expression': False, 'remove_char': False, 'remove_stop': True, 'remove_tag': False, 'lemmatize': True, 'stemmer': True}",0.28789576052824384,0.28674884976917747,0.2760596158591563,0.19934658721031526,0.20482232795952982,0.19216775559976595
"{'lower': True, 'keep_numbers': True, 'keep_expression': False, 'remove_char': True, 'remove_stop': True, 'remove_tag': True, 'lemmatize': False, 'stemmer': False}",0.2717871107317953,0.27190651964304946,0.2604120538392354,0.18954115065189892,0.19646552504482448,0.17964816910626769
"{'lower': False, 'keep_numbers': False, 'keep_expression': False, 'remove_char': True, 'remove_stop': True, 'remove_tag': False, 'lemmatize': False, 'stemmer': False}",0.28264046722615277,0.27960723720739605,0.265134841355766,0.19598792854518218,0.19858400504669624,0.18215464751743415
"{'lower': True, 'keep_numbers': True, 'keep_expression': True, 'remove_char': False, 'remove_stop': True, 'remove_tag': False, 'lemmatize': True, 'stemmer': False}",0.2772019076396878,0.27916294944968606,0.26665019079719526,0.19217234093805532,0.20054730481699015,0.1835127896234762
"{'lower': True, 'keep_numbers': False, 'keep_expression': True, 'remove_char': False, 'remove_stop': True, 'remove_tag': False, 'lemmatize': False, 'stemmer': True}",0.27843196183157265,0.28062901223196596,0.27061585087976725,0.1939191685184083,0.20257183086556513,0.1888978733300528
"{'lower': True, 'keep_numbers': False, 'keep_expression': True, 'remove_char': True, 'remove_stop': True, 'remove_tag': True, 'lemmatize': False, 'stemmer': False}",0.27197262923342264,0.26982484362612374,0.2574156940599365,0.18971160805573878,0.19455809620347317,0.17811960603609778
"{'lower': True, 'keep_numbers': False, 'keep_expression': False, 'remove_char': False, 'remove_stop': False, 'remove_tag': True, 'lemmatize': False, 'stemmer': True}",0.27192384423917926,0.27706475925697716,0.2754023972142058,0.18667928409579637,0.18823295110942898,0.18960304245502116
